HMDB ID,Name,Chemical Formula,Monoisotopic Mass
HMDB00001,1-Methylhistidine,C7H11N3O2,169.085126611
HMDB00002,"1,3-Diaminopropane",C3H10N2,74.08439833
HMDB00005,2-Ketobutyric acid,C4H6O3,102.031694058
HMDB00008,2-Hydroxybutyric acid,C4H8O3,104.047344122
HMDB00010,2-Methoxyestrone,C19H24O3,300.172544634
HMDB00011,(R)-3-Hydroxybutyric acid,C4H8O3,104.047344122
HMDB00012,Deoxyuridine,C9H12N2O5,228.074621504
HMDB00014,Deoxycytidine,C9H13N3O4,227.090605919
HMDB00015,Cortexolone,C21H30O4,346.214409448
HMDB00016,Deoxycorticosterone,C21H30O3,330.219494826
HMDB00017,4-Pyridoxic acid,C8H9NO4,183.053157781
HMDB00019,Alpha-ketoisovaleric acid,C5H8O3,116.047344122
HMDB00020,p-Hydroxyphenylacetic acid,C8H8O3,152.047344122
HMDB00021,Iodotyrosine,C9H10INO3,306.970536611
HMDB00022,3-Methoxytyramine,C9H13NO2,167.094628665
HMDB00023,(S)-3-Hydroxyisobutyric acid,C4H8O3,104.047344122
HMDB00024,3-O-Sulfogalactosylceramide (d18:1/24:0),C48H93NO11S,891.646933513
HMDB00026,Ureidopropionic acid,C4H8N2O3,132.053492132
HMDB00027,Tetrahydrobiopterin,C9H15N5O3,241.117489371
HMDB00030,Biotin,C10H16N2O3S,244.088163078
HMDB00031,Androsterone,C19H30O2,290.224580204
HMDB00032,7-Dehydrocholesterol,C27H44O,384.33921603
HMDB00033,Carnosine,C9H14N4O3,226.106590334
HMDB00034,Adenine,C5H5N5,135.054495185
HMDB00036,Taurocholic acid,C26H45NO7S,515.291673489
HMDB00037,Aldosterone,C21H28O5,360.193674006
HMDB00038,Dihydrobiopterin,C9H13N5O3,239.101839307
HMDB00039,Butyric acid,C4H8O2,88.0524295
HMDB00042,Acetic acid,C2H4O2,60.021129372
HMDB00043,Betaine,C5H11NO2,117.078978601
HMDB00044,Ascorbic acid,C6H8O6,176.032087988
HMDB00045,Adenosine monophosphate,C10H14N5O7P,347.063084339
HMDB00048,Melibiose,C12H22O11,342.116211546
HMDB00050,Adenosine,C10H13N5O4,267.096753929
HMDB00051,Ammonia,H3N,17.026549101
HMDB00052,Argininosuccinic acid,C10H18N4O6,290.122634328
HMDB00053,Androstenedione,C19H26O2,286.193280076
HMDB00054,Bilirubin,C33H36N4O6,584.263484904
HMDB00055,Cellobiose,C12H22O11,342.116211546
HMDB00056,Beta-Alanine,C3H7NO2,89.047678473
HMDB00058,Cyclic AMP,C10H12N5O6P,329.052519653
HMDB00060,Acetoacetic acid,C4H6O3,102.031694058
HMDB00061,"Adenosine 3',5'-diphosphate",C10H15N5O10P2,427.029414749
HMDB00062,L-Carnitine,C7H15NO3,161.105193351
HMDB00063,Cortisol,C21H30O5,362.20932407
HMDB00064,Creatine,C4H9N3O2,131.069476547
HMDB00067,Cholesterol,C27H46O,386.354866094
HMDB00068,Epinephrine,C9H13NO3,183.089543287
HMDB00070,Pipecolic acid,C6H11NO2,129.078978601
HMDB00071,Deoxyinosine,C10H12N4O4,252.085854892
HMDB00072,cis-Aconitic acid,C6H6O6,174.016437924
HMDB00073,Dopamine,C8H11NO2,153.078978601
HMDB00076,Dihydrouracil,C4H6N2O2,114.042927446
HMDB00077,Dehydroepiandrosterone,C19H28O2,288.20893014
HMDB00078,Cysteinylglycine,C5H10N2O3S,178.041212886
HMDB00079,Dihydrothymine,C5H8N2O2,128.05857751
HMDB00082,Cytidine triphosphate,C9H16N3O14P3,482.984511771
HMDB00085,Deoxyguanosine,C10H13N5O4,267.096753929
HMDB00086,Glycerophosphocholine,C8H20NO6P,257.102823889
HMDB00087,Dimethylamine,C2H7N,45.057849229
HMDB00089,Cytidine,C9H13N3O5,243.085520541
HMDB00092,Dimethylglycine,C4H9NO2,103.063328537
HMDB00094,Citric acid,C6H8O7,192.02700261
HMDB00095,Cytidine monophosphate,C9H14N3O8P,323.051850951
HMDB00097,Choline,C5H14NO,104.107539075
HMDB00098,D-Xylose,C5H10O5,150.05282343
HMDB00099,L-Cystathionine,C7H14N2O4S,222.067427636
HMDB00101,Deoxyadenosine,C10H13N5O3,251.101839307
HMDB00107,Galactitol,C6H14O6,182.07903818
HMDB00108,Ethanol,C2H6O,46.041864814
HMDB00112,Gamma-Aminobutyric acid,C4H9NO2,103.063328537
HMDB00114,Glycerylphosphorylethanolamine,C5H14NO6P,215.055873697
HMDB00115,Glycolic acid,C2H4O3,76.016043994
HMDB00118,Homovanillic acid,C9H10O4,182.057908808
HMDB00119,Glyoxylic acid,C2H2O3,74.00039393
HMDB00121,Folic acid,C19H19N7O6,441.139681375
HMDB00122,D-Glucose,C6H12O6,180.063388116
HMDB00123,Glycine,C2H5NO2,75.032028409
HMDB00124,Fructose 6-phosphate,C6H13O9P,260.029718526
HMDB00125,Glutathione,C10H17N3O6S,307.083805981
HMDB00126,Glycerol 3-phosphate,C3H9O6P,172.013674532
HMDB00127,D-Glucuronic acid,C6H10O7,194.042652674
HMDB00128,Guanidoacetic acid,C3H7N3O2,117.053826483
HMDB00130,Homogentisic acid,C8H8O4,168.042258744
HMDB00131,Glycerol,C3H8O3,92.047344122
HMDB00132,Guanine,C5H5N5O,151.049409807
HMDB00133,Guanosine,C10H13N5O5,283.091668551
HMDB00134,Fumaric acid,C4H4O4,116.010958616
HMDB00138,Glycocholic acid,C26H43NO6,465.309038113
HMDB00139,Glyceric acid,C3H6O4,106.02660868
HMDB00140,Glucosylceramide,C48H93NO8,811.690118957
HMDB00142,Formic acid,CH2O2,46.005479308
HMDB00143,D-Galactose,C6H12O6,180.063388116
HMDB00145,Estrone,C18H22O2,270.161979948
HMDB00148,L-Glutamic acid,C5H9NO4,147.053157781
HMDB00149,Ethanolamine,C2H7NO,61.052763851
HMDB00150,Gluconolactone,C6H10O6,178.047738052
HMDB00151,Estradiol,C18H24O2,272.177630012
HMDB00152,Gentisic acid,C7H6O4,154.02660868
HMDB00153,Estriol,C18H24O3,288.172544634
HMDB00156,L-Malic acid,C4H6O5,134.021523302
HMDB00157,Hypoxanthine,C5H4N4O,136.03851077
HMDB00158,L-Tyrosine,C9H11NO3,181.073893223
HMDB00159,L-Phenylalanine,C9H11NO2,165.078978601
HMDB00161,L-Alanine,C3H7NO2,89.047678473
HMDB00162,L-Proline,C5H9NO2,115.063328537
HMDB00163,D-Maltose,C12H22O11,342.116211546
HMDB00164,Methylamine,CH5N,31.042199165
HMDB00167,L-Threonine,C4H9NO3,119.058243159
HMDB00168,L-Asparagine,C4H8N2O3,132.053492132
HMDB00169,D-Mannose,C6H12O6,180.063388116
HMDB00172,L-Isoleucine,C6H13NO2,131.094628665
HMDB00174,L-Fucose,C6H12O5,164.068473494
HMDB00175,Inosinic acid,C10H13N4O8P,348.047099924
HMDB00176,Maleic acid,C4H4O4,116.010958616
HMDB00177,L-Histidine,C6H9N3O2,155.069476547
HMDB00181,L-Dopa,C9H11NO4,197.068807845
HMDB00182,L-Lysine,C6H14N2O2,146.105527702
HMDB00186,Alpha-Lactose,C12H22O11,342.116211546
HMDB00187,L-Serine,C3H7NO3,105.042593095
HMDB00189,Inosine triphosphate,C10H15N4O14P3,507.979760744
HMDB00190,L-Lactic acid,C3H6O3,90.031694058
HMDB00191,L-Aspartic acid,C4H7NO4,133.037507717
HMDB00192,L-Cystine,C6H12N2O4S2,240.023848262
HMDB00193,Isocitric acid,C6H8O7,192.02700261
HMDB00194,Anserine,C10H16N4O3,240.122240398
HMDB00195,Inosine,C10H12N4O5,268.080769514
HMDB00197,Indoleacetic acid,C10H9NO2,175.063328537
HMDB00201,L-Acetylcarnitine,C9H17NO4,203.115758037
HMDB00202,Methylmalonic acid,C4H6O4,118.02660868
HMDB00205,Phenylpyruvic acid,C9H8O3,164.047344122
HMDB00206,N6-Acetyl-L-lysine,C8H16N2O3,188.116092388
HMDB00207,Oleic acid,C18H34O2,282.255880332
HMDB00208,Oxoglutaric acid,C5H6O5,146.021523302
HMDB00209,Phenylacetic acid,C8H8O2,136.0524295
HMDB00210,Pantothenic acid,C9H17NO5,219.110672659
HMDB00211,Myoinositol,C6H12O6,180.063388116
HMDB00212,N-Acetylgalactosamine,C8H15NO6,221.089937217
HMDB00213,Myo-inositol 1-phosphate,C6H13O9P,260.029718526
HMDB00214,Ornithine,C5H12N2O2,132.089877638
HMDB00215,N-Acetyl-D-glucosamine,C8H15NO6,221.089937217
HMDB00216,Norepinephrine,C8H11NO3,169.073893223
HMDB00217,NADP,C21H29N7O17P3,744.083277073
HMDB00218,Orotidylic acid,C10H13N2O11P,368.02569578
HMDB00220,Palmitic acid,C16H32O2,256.240230268
HMDB00221,NADPH,C21H30N7O17P3,745.091102105
HMDB00222,L-Palmitoylcarnitine,C23H45NO4,399.334858933
HMDB00223,Oxalacetic acid,C4H4O5,132.005873238
HMDB00224,O-Phosphoethanolamine,C2H8NO4P,141.019094261
HMDB00225,Oxoadipic acid,C6H8O5,160.037173366
HMDB00226,Orotic acid,C5H4N2O4,156.017106626
HMDB00227,Mevalonic acid,C6H12O4,148.073558872
HMDB00228,Phenol,C6H6O,94.041864814
HMDB00229,Nicotinamide ribotide,C11H15N2O8P,334.056601978
HMDB00230,N-Acetylneuraminic acid,C11H19NO9,309.105981211
HMDB00232,Quinolinic acid,C7H5NO4,167.021857653
HMDB00234,Testosterone,C19H28O2,288.20893014
HMDB00235,Thiamine,C12H17N4OS,265.112306876
HMDB00237,Propionic acid,C3H6O2,74.036779436
HMDB00238,Sepiapterin,C9H11N5O3,237.086189243
HMDB00239,Pyridoxine,C8H11NO3,169.073893223
HMDB00240,Sulfite,O3S,79.956814556
HMDB00241,Protoporphyrin IX,C34H34N4O4,562.258005596
HMDB00243,Pyruvic acid,C3H4O3,88.016043994
HMDB00244,Riboflavin,C17H20N4O6,376.138284392
HMDB00245,Porphobilinogen,C10H14N2O4,226.095356946
HMDB00246,Tetrahydrofuran,C4H8O,72.057514878
HMDB00247,Sorbitol,C6H14O6,182.07903818
HMDB00248,Thyroxine,C15H11I4NO4,776.686681525
HMDB00250,Pyrophosphate,O7P2,173.911925378
HMDB00251,Taurine,C2H7NO3S,125.014663785
HMDB00252,Sphingosine,C18H37NO2,299.282429433
HMDB00253,Pregnenolone,C21H32O2,316.240230268
HMDB00254,Succinic acid,C4H6O4,118.02660868
HMDB00256,Squalene,C30H50,410.3912516
HMDB00257,Thiosulfate,O3S2,111.928885246
HMDB00258,Sucrose,C12H22O11,342.116211546
HMDB00259,Serotonin,C10H12N2O,176.094963016
HMDB00262,Thymine,C5H6N2O2,126.042927446
HMDB00263,Phosphoenolpyruvic acid,C3H5O6P,167.982374404
HMDB00265,Liothyronine,C15H12I3NO4,650.790038137
HMDB00267,Pyroglutamic acid,C5H7NO3,129.042593095
HMDB00268,Tetrahydrocorticosterone,C21H34O4,350.245709576
HMDB00269,Sphinganine,C18H39NO2,301.298079497
HMDB00271,Sarcosine,C3H7NO2,89.047678473
HMDB00272,Phosphoserine,C3H8NO6P,185.008923505
HMDB00273,Thymidine,C10H14N2O5,242.090271568
HMDB00277,Sphingosine 1-phosphate,C18H38NO5P,379.248759843
HMDB00279,Saccharopine,C11H20N2O6,276.132136382
HMDB00280,Phosphoribosyl pyrophosphate,C5H13O14P3,389.95181466
HMDB00283,D-Ribose,C5H10O5,150.05282343
HMDB00285,Uridine triphosphate,C9H15N2O15P3,483.968527356
HMDB00286,Uridine diphosphate glucose,C15H24N2O17P2,566.055020376
HMDB00288,Uridine 5'-monophosphate,C9H13N2O9P,324.035866536
HMDB00289,Uric acid,C5H4N4O3,168.028340014
HMDB00290,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,607.081569477
HMDB00291,Vanillylmandelic acid,C9H10O5,198.05282343
HMDB00292,Xanthine,C5H4N4O2,152.033425392
HMDB00293,Xanthosine 5-triphosphate,C10H15N4O15P3,523.974675366
HMDB00294,Urea,CH4N2O,60.03236276
HMDB00295,Uridine 5'-diphosphate,C9H14N2O12P2,404.002196946
HMDB00296,Uridine,C9H12N2O6,244.069536126
HMDB00299,Xanthosine,C10H12N4O6,284.075684136
HMDB00300,Uracil,C4H4N2O2,112.027277382
